Sentiment,L1 Cluster ID,L1 Cluster,L1 Phrase Count,L1 Review Count,L1 Rating (Phrase),L1 Rating (Review),L2 Cluster ID,L2 Cluster,L2 Phrase Count,L2 Review Count,L2 Rating (Phrase),L2 Rating (Review),L3 Cluster ID,L3 Cluster,L3 Phrase Count,L3 Review Count,L3 Rating (Review),L3 Rating (Phrase),L4 ID,L4 Phrases,Review ID,Review Rating,Verified Purchase,Recommended,Incentivized,Upvote,Downvote,AgeRange,SkinConcerns
Positive,P4L1I1,Application,440,421,4.781818182,4.790973872,P4L2I1,Texture,313,300,4.782747604,4.793333333,P4L3I1, very dry T-Zone quickly,16,16,4.875,4.875,P4L4I1, absorbs very well,P4R601,5,No,Yes,No,14,0,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I2, combination acne prone skin,25,25,4.88,4.88,P4L4I2, combination acne prone skin,P4R601,5,No,Yes,No,14,0,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I3, calm any redness,37,36,4.916666667,4.918918919,P4L4I3, calm any redness,P4R601,5,No,Yes,No,14,0,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I4, dark acne scars,21,20,4.95,4.952380952,P4L4I4, dark acne scars,P4R601,5,No,Yes,No,14,0,,Acne
Positive,P4L1I3,Emotional,230,221,4.917391304,4.918552036,P4L2I3,Sentiment,133,131,4.947368421,4.946564885,P4L3I1, very dry T-Zone quickly,27,27,5,5,P4L4I5, recommend trying this product,P4R601,5,No,Yes,No,14,0,,Acne
Positive,P4L1I4,Product,443,423,4.749435666,4.747044917,P4L2I4,Price,81,78,4.925925926,4.923076923,P4L3I1, very dry T-Zone quickly,14,14,5,5,P4L4I6, price is worth it,P4R601,5,No,Yes,No,14,0,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I5,Allergy,45,44,4.844444444,4.863636364,P4L3I1, very dry T-Zone quickly,28,27,4.925925926,4.892857143,P4L4I7, never caused an acne flare,P4R601,5,No,Yes,No,14,0,,Acne
Positive,P4L1I1,Application,440,421,4.781818182,4.790973872,P4L2I1,Texture,313,300,4.782747604,4.793333333,P4L3I5, Very gentle,16,16,4.9375,4.9375,P4L4I8, does NOT leave skin oily/greasy,P4R605,5,No,Yes,No,26,1,,Blackheads
Positive,P4L1I1,Application,440,421,4.781818182,4.790973872,P4L2I1,Texture,313,300,4.782747604,4.793333333,P4L3I1, very dry T-Zone quickly,16,16,4.875,4.875,P4L4I9, absorbs it immediately,P4R605,5,No,Yes,No,26,1,,Blackheads
Positive,P4L1I1,Application,440,421,4.781818182,4.790973872,P4L2I1,Texture,313,300,4.782747604,4.793333333,P4L3I3, calm any redness,16,16,4.8125,4.8125,P4L4I10, not look glossy midday,P4R605,5,No,Yes,No,26,1,,Blackheads
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I3, calm any redness,37,36,4.916666667,4.918918919,P4L4I11, reduced redness,P4R605,5,No,Yes,No,26,1,,Blackheads
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I6, price is worth it,17,17,4.294117647,4.294117647,P4L4I12, combination skin,P4R605,5,No,Yes,No,26,1,,Blackheads
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I7, Age is [35],47,46,4.760869565,4.744680851,P4L4I13, good hydrating moisturizer,P4R605,5,No,Yes,No,26,1,,Blackheads
Positive,P4L1I3,Emotional,230,221,4.917391304,4.918552036,P4L2I3,Sentiment,133,131,4.947368421,4.946564885,P4L3I5, Very gentle,35,34,4.882352941,4.885714286,P4L4I14, this one is PERFECTION,P4R605,5,No,Yes,No,26,1,,Blackheads
Positive,P4L1I3,Emotional,230,221,4.917391304,4.918552036,P4L2I6,Purchase,63,60,4.936507937,4.933333333,P4L3I1, very dry T-Zone quickly,26,24,4.916666667,4.923076923,P4L4I15, lifetime product for me,P4R605,5,No,Yes,No,26,1,,Blackheads
Positive,P4L1I4,Product,443,423,4.749435666,4.747044917,P4L2I7,Motivation,89,87,4.382022472,4.379310345,P4L3I5, Very gentle,14,14,4.785714286,4.785714286,P4L4I16, first tried this moisturizer as a free sample,P4R605,5,No,Yes,No,26,1,,Blackheads
Positive,P4L1I1,Application,440,421,4.781818182,4.790973872,P4L2I1,Texture,313,300,4.782747604,4.793333333,P4L3I4, dark acne scars,22,20,4.7,4.727272727,P4L4I17, feels thick,P4R606,5,No,Yes,No,7,0,,Blackheads
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I8, fungal acne,12,12,4.75,4.75,P4L4I18, sensitive dry/combo skin,P4R606,5,No,Yes,No,7,0,,Blackheads
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I7, Age is [35],47,46,4.760869565,4.744680851,P4L4I19, thick and hydrating,P4R606,5,No,Yes,No,7,0,,Blackheads
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I9, redness gone,38,33,4.666666667,4.710526316,P4L4I20, pcos so,P4R606,5,No,Yes,No,7,0,,Blackheads
